,StopNum,RouteNum,PollTime,TimeToNext,TimeTo2nd
0,8766,9,24,4,-100
1,8766,9,24,2,-100
2,8766,9,24,2,-100
3,8766,9,24,1,-100
4,8766,9,24,-100,-100
5,8766,9,24,-100,-100
6,8766,9,24,-100,-100
7,8766,9,24,-100,-100
8,8766,9,24,-100,-100
9,8766,9,24,-100,-100
10,8766,9,24,-100,-100
11,8766,9,24,-100,-100
12,8766,9,24,-100,-100
13,8766,9,24,19,-100
14,8766,9,24,18,-100
15,8766,9,24,17,-100
16,8766,9,24,16,-100
17,8766,9,24,15,-100
18,8766,9,24,14,-100
19,8766,9,24,13,-100
20,8766,9,24,12,-100
21,8766,9,24,11,-100
22,8766,9,24,12,-100
23,8766,9,24,11,-100
24,8766,9,24,10,-100
25,8766,9,24,9,-100
26,8766,9,24,7,-100
27,8766,9,24,7,-100
28,8766,9,24,5,-100
29,8766,9,24,5,-100
30,8766,9,24,3,-100
31,8766,9,24,3,-100
32,8766,9,24,2,-100
33,8766,9,24,1,-100
34,8766,9,25,-100,-100
35,8766,9,25,-100,-100
36,8766,9,25,-100,-100
37,8766,9,25,-100,-100
38,8766,9,25,-100,-100
39,8766,9,25,-100,-100
40,8766,9,25,-100,-100
41,8766,9,25,-100,-100
42,8766,9,25,-100,-100
43,8766,9,25,-100,-100
44,8766,9,25,-100,-100
45,8766,9,25,-100,-100
46,8766,9,25,-100,-100
47,8766,9,25,-100,-100
48,8766,9,25,-100,-100
49,8766,9,25,-100,-100
50,8766,9,25,-100,-100
51,8766,9,25,-100,-100
52,8766,9,25,-100,-100
53,8766,9,25,-100,-100
54,8766,9,25,-100,-100
55,8766,9,25,-100,-100
56,8766,9,25,-100,-100
57,8766,9,25,-100,-100
58,8766,9,25,-100,-100
59,8766,9,25,-100,-100
60,8766,9,25,-100,-100
61,8766,9,25,-100,-100
62,8766,9,25,-100,-100
63,8766,9,25,-100,-100
64,8766,9,25,-100,-100
65,8766,9,25,-100,-100
66,8766,9,25,-100,-100
67,8766,9,25,-100,-100
68,8766,9,25,-100,-100
69,8766,9,25,-100,-100
70,8766,9,25,-100,-100
71,8766,9,25,-100,-100
72,8766,9,25,-100,-100
73,8766,9,25,-100,-100
74,8766,9,25,-100,-100
75,8766,9,25,-100,-100
76,8766,9,25,-100,-100
77,8766,9,25,-100,-100
78,8766,9,25,-100,-100
79,8766,9,25,-100,-100
80,8766,9,25,-100,-100
81,8766,9,25,-100,-100
82,8766,9,25,-100,-100
83,8766,9,25,-100,-100
84,8766,9,25,-100,-100
85,8766,9,25,-100,-100
86,8766,9,25,-100,-100
87,8766,9,25,-100,-100
88,8766,9,25,-100,-100
89,8766,9,25,-100,-100
90,8766,9,25,-100,-100
91,8766,9,25,-100,-100
92,8766,9,25,-100,-100
93,8766,9,25,-100,-100
94,8766,9,25,-100,-100
95,8766,9,25,-100,-100
96,8766,9,25,-100,-100
97,8766,9,25,-100,-100
98,8766,9,25,-100,-100
99,8766,9,25,-100,-100
100,8766,9,25,-100,-100
101,8766,9,25,-100,-100
102,8766,9,25,-100,-100
103,8766,9,25,-100,-100
104,8766,9,25,-100,-100
